Altium Designer Pick and Place Locations
C:\Research\git\Sensorcard_develop\SensorCard\Motherboard\altium\Project Outputs for SensorMotherBoard\Pick Place for SensorMotherBoard.csv

========================================================================================================================
File Design Information:

Date:       12/10/20
Time:       16:49
Revision:   fd4bb01e34364a90a7d0fe277d3a2c5917eb8aaa
Variant:    No variations
Units used: mil

"Designator","Comment","Layer","Footprint","Center-X(mil)","Center-Y(mil)","Rotation","Description"
"U8","NUP4114HMR6T1G","TopLayer","TSOP95P280X110-6N","372.913","6858.000","90","TVS DIODE 5.5V 10V 6TSOP"
"U7","NUP4114HMR6T1G","TopLayer","TSOP95P280X110-6N","372.913","6628.000","90","TVS DIODE 5.5V 10V 6TSOP"
"U9","NUP4114HMR6T1G","TopLayer","TSOP95P280X110-6N","372.913","7078.000","90","TVS DIODE 5.5V 10V 6TSOP"
"U6","NUP4114HMR6T1G","TopLayer","TSOP95P280X110-6N","302.913","4668.000","360","TVS DIODE 5.5V 10V 6TSOP"
"TG2","RCU-0C","TopLayer","RCU-0C","892.913","3008.000","90","PC TEST POINT NATURAL"
"TG5","RCU-0C","TopLayer","RCU-0C","2582.913","4718.000","90","PC TEST POINT NATURAL"
"TG4","RCU-0C","TopLayer","RCU-0C","892.913","6218.000","90","PC TEST POINT NATURAL"
"TG3","RCU-0C","TopLayer","RCU-0C","892.913","5698.000","90","PC TEST POINT NATURAL"
"TG7","RCU-0C","TopLayer","RCU-0C","4391.691","4799.747","90","PC TEST POINT NATURAL"
"TG6","RCU-0C","TopLayer","RCU-0C","2672.913","3008.000","90","PC TEST POINT NATURAL"
"R5","Resistor","TopLayer","0603-RES","222.913","6108.000","270","Resistor"
"L1","744273801","TopLayer","WE-SL5","140.000","2910.000","270","SMD Common Mode Line Filter WE-SL5 HC, L = 9.00 µH"
"CON2","ICD15S13E4GV00LF","TopLayer","ICD15S","20.000","6897.291","270","AMPHENOL ICC (FCI) - ICD15S13E4GV00LF - D-SUB CONN, RCPT, R/A, 15POS, TH"
"CON4","20021521-00010D4LF","TopLayer","20021521-00010D4LF","54.464","4588.000","270","CONN HEADER SMD 10POS 1.27MM"
"R15","Resistor","TopLayer","RES-0603","442.913","148.000","270","RES 3K OHM 1% 1/10W 0603"
"R16","Resistor","TopLayer","RES-0603","562.913","148.000","270","RES 3K OHM 1% 1/10W 0603"
"LED1","BLUE","TopLayer","0603-LED","-7.087","3708.000","180","LED BLUE CLEAR 0603 SMD"
"LED10","YELLOW","TopLayer","0603-LED","802.913","48.000","90",""
"LED9","RED","TopLayer","0603-LED","684.172","31.634","270",""
"LED6","YELLOW","TopLayer","0603-LED","562.913","48.000","90",""
"LED5","RED","TopLayer","0603-LED","444.178","32.840","270",""
"LED4","RED","TopLayer","0603-LED","-7.087","4068.000","180",""
"TG1","RCU-0C","TopLayer","RCU-0C","332.382","4276.751","90","PC TEST POINT NATURAL"
"TP2","RCU-0C","TopLayer","RCU-0C","333.428","4446.919","90","PC TEST POINT NATURAL"
